"id","name","cm","phone","address","postal_code","city","longitude","latitude"
"131","Base av. La Crèche","3436"," ","sis Allee Louis Antoine de Bougainville ZA Champs Albert","79260","LA CRECHE","-0.306047","46.349734"
"132","Pithiviers","3268","02-38-06-11-30","RUE JEAN MONNET ZAC DE ZENIVES","45300","PITHIVIERS","2.251918","48.189826"
"133","Poitiers 8 mai","3271","05-49-57-25-82","174, AVENUE DU 8 MAI 1945","86000","POITIERS","0.307351","46.555099"
"134","Sablé","3298","02-43-62-16-90","ROUTE DE LA FLECHE ZONE D ACTIVITE ST LAURENT","72300","SABLE S/SARTHE",NULL,NULL
"135","Saintes","3324","05-46-74-83-00","RUE DU CHEMIN FERRE Z.I. DE L ORMEAU DE PIED","17100","SAINTES",NULL,NULL
"136","Saran","3328","02-38-70-93-20","168 RUE FRANCIS PERRIN","45770","SARAN","1.858467","47.950921"
"137","Thouars VI","3340","05-49-66-69-25","ZONE ARTISANALE LA MOTTE DES JUSTICES","79100","THOUARS",NULL,NULL
"138","Toury","3350","02-37-90-41-90","ZI DE LA HAUTE BORNE RUE DE LA MALADRERIE","28310","TOURY",NULL,NULL
"139","Vendôme","3356","02-54-73-71-71","25 ROUTE DE PARIS R.N 10","41100","VENDOME","1.073274","47.809065"
"140","Angers VL","3012","02-41-31-13-50","4, AVENUE BESNARDIERE","49100","ANGERS","-0.544604","47.479546"
"141","Brive VL","3051","05-55-88-96-39","26, RUE JEAN-CHARLES RIVET","19100","BRIVE","1.495917","45.149799"
"142","La Rochelle","3174","05-46-34-85-71","153, BOULEVARD ANDRE SAUTEL","17000","LA ROCHELLE","-1.12623","46.170279"
"143","Montargis VL","3231","02-38-93-38-33","64, RUE JEAN JAURES","45200","MONTARGIS","2.732122","47.99225"
"144","Olivet","3257","02-38-63-41-64","101 RUE D ALSACE ZAC DES PROVINCES","45160","OLIVET",NULL,NULL
"145","Thouars VL","3341","05-49-66-06-52","24 BD ERNEST RENAN","79100","THOUARS","-0.214702","46.978592"
"146","Tours VL","3349","02-47-51-03-03","16, RUE C. HUYGENS Z.I. DE LA MILLETIERE","37100","TOURS",NULL,NULL
"147","Abbeville","3000","03-22-20-14-70","ZAC DES DEUX VALLEES","80100","ABBEVILLE","1.866552","50.110406"
"148","Amiens VI","3009","03-22-67-55-80","AVENUE ROGER DUMOULIN Z.I NORD","80000","AMIENS",NULL,NULL
"149","Arras","3020","03-21-21-71-40","245, AVENUE KENNEDY","62000","ARRAS","2.743233","50.286068"
"150","Beauvais","3033","03-44-14-31-10","21, AVENUE BLAISE PASCAL","60000","BEAUVAIS","2.11296","49.417326"
"151","Chalons en Champagne","3067","03-26-26-96-70","1 BIS AVENUE DU 106EME R.I.","51000","CHALONS EN CHAMPAGNE",NULL,NULL
"152","Charleville Mezieres","3072","03-24-57-02-44","RUE PAULIN RICHIER ZAC DE LA CROISETTE","08000","CHARLEVILLE MEZIERES","4.704536","49.740486"
"153","Compiegne","3086","03-44-30-37-37","10, RUE JACQUES DE VAUCANSON ZAC DE MERCIERES","60200","COMPIEGNE","2.786682","49.392195"
"154","Creil","3096","03-44-64-66-80","Z.A E. T. ST-MAXIMIN","60100","CREIL",NULL,NULL
"155","Dunkerque ZI","3106","03-28-25-96-40","RUE DE L ALBECK Z.I. PETITE SYNTHE","59640","DUNKERQUE",NULL,NULL
"156","Epernay","3144","03-26-55-90-40","94, AVENUE A. THEVENET","51530","EPERNAY - MAGENTA","3.965253","49.056549"
"157","Eu","3146","02-27-28-03-40","7, RUE DES BELGES","76260","EU","1.421986","50.056722"
